"site","sample","species","ycollect","ypublish","tech","CaPERC","KPERC","MgPERC","NPERC","PPERC","SPERC","Al","As","B","Ba","Cd","Co","Cr","Cu","Fe","Mn","Mo","Na","Ni","Pb","Se","Si","Sr","Ti","V","Zn","Cl","Br","Rb","Cu.Zn","Fe.Ti","F","lat","long","state"
"ANF_2","1393","rhizoplaca","2012","2012","ICP","8.72","0.38","0.11","0.45","0.06","0.06","","1.97","","15.7","0.59","0.34","2.19","3.56","1201","23.1","bdl","71.8","1.41","9","bdl","70.85","134.2","15.2","bdl","20.8","","","","0.171","79.013","",40.078,-110.848,"utah"
"UWCNF_15","1321","rhizoplaca","2011","2012","ICP","5.25","0.21","","0.51","0.08106","0.07","","0.88","","28.56","","0.55","4.69","6.3","1506","27.12","","","0.89","15.66","bdl","8.19","41.38","35.59","bdl","16.38","","","","0.385","42.315","",40.10977,-111.4343,"utah"
"WRNF_8","1389","rhizoplaca","2012","2012","ICP","3.84","0.46","0.09","0.71","0.07","0.08","","bdl","","16.5","1.02","0.85","2.81","4.03","1812","32","bdl","46.3","2.05","34.3","bdl","122.09","38.4","48.1","bdl","30.9","","","","0.13","","",39.598,-107.197,"colorado"
"WRNF_6","1383","rhizoplaca","2012","2012","ICP","4.2","0.53","0.08","0.63","0.09","0.08","","0.8","","19.3","0.68","0.86","2.58","4.53","1669","34.2","bdl","62.6","2.15","7.6","bdl","81.75","53.3","42.1","bdl","23","","","","0.197","","",39.676,-107.536,"colorado"
"ANF_3","1394","rhizoplaca","2012","2012","ICP","8.79","0.45","0.17","0.6","0.07","0.09","","0.21","","23.5","0.99","0.49","2.02","5.09","1866","35.8","bdl","68.2","1.74","17.7","bdl","70.86","241.9","26.2","bdl","28.9","","","","0.176","71.221","",39.943,-110.663,"utah"
"WRNF_7","1385","rhizoplaca","2012","2012","ICP","5.16","0.58","0.09","0.64","0.09","0.09","","bdl","","10","0.49","0.42","2.06","5.33","1506","31.7","bdl","33.8","0.91","2.4","bdl","103.6","42.8","10.2","bdl","18.3","","","","0.291","","",39.682,-107.575,"colorado"
"UWCNF_19","1328","rhizoplaca","2011","2012","ICP","5.88","0.31","","1.95","0.09","0.09","","2.22","","54.984","","0.75","8.76","11.782","2428","42.78","","","1.47","24.85","24.85","124.3","67.52","108.406","bdl","29.55","","","","0.399","22.397","",40.37552,-111.2926,"utah"
"MI_ReInvent_1","1366","rhizoplaca","2012","2012","ICP","0.38","0.77","0.06","1.16","0.14","0.09","","bdl","","18.6","0.29","0.35","0.78","2.13","717","32.4","bdl","58.8","0.56","3.5","bdl","bdl","8.3","35.7","bdl","20.8","","","","0.102","20.8","",45.88468,-113.7167,"montana"
"SANF_5","1309","rhizoplaca","2011","2011","ICP","6.63","0.27","0.21","0.95","0.07","0.1","","3.68","","168.5","1.28","1.5","13.01","10.93","5190","60.94","bdl","675.1","3.2","24.58","bdl","117.4","276.1","232","bdl","31.17","","","","0.351","","",41.35153,-109.4196,"wyoming"
"UWCNF_10","1397","rhizoplaca","2012","2012","ICP","8.73","0.49","0.07","0.69","0.08","0.1","","1.17","","4.4","0.97","0.35","2.01","5.99","1388","23.4","bdl","58.5","2.03","22.2","bdl","82.59","129.1","14.1","bdl","33.4","","","","0.179","98.44","",40.40203,-111.6442,"utah"
"NCHT_6","1451","rhizoplaca","2013","2013","ICP","2.84","0.47","0.07","0.89","0.08","0.1","","2.32","7.77","14.27","0.46","0.46","1.7","3.55","2332","46.3","bdl","107.4","bdl","10.87","bdl","58.7","77.5","40.63","bdl","29","","","","0.122","57.3960128","",38.63395,-116.6732,"nevada"
"SANF_6","1311","rhizoplaca","2011","2011","ICP","5.57","0.33","0.11","0.66","0.09","0.1","","1.22","","109.9","1.26","1.01","9.43","9.18","2741","42.62","bdl","293.2","1.81","382.1","bdl","110.4","67.33","128.2","bdl","35.9","","","","0.256","","",40.90903,-109.436,"utah"
"ANF_4","1464","rhizoplaca","2013","2013","ICP","6.26","0.49","0.17","0.87","0.1","0.1","","3.79","","65.7","0.83","1.26","8.53","5.86","4113","71.1","bdl","227.1","2.2","11.7","bdl","180","91.3","88.4","bdl","38","","","","0.154","","",39.995417,-110.3433,"utah"
"CNF_1","1415","rhizoplaca","2013","2013","ICP","2.6","0.5","0.1","1.03","0.11","0.1","","1.85","9.71","18.83","1.78","1.43","2.61","9.33","2116","55","0.43","73.3","1.57","27.36","bdl","175.3","53.4","38.61","bdl","38","","","","","","",36.58398,-105.496,"new mexico"
"ERSM_7","1489","rhizoplaca","2014","2014","ICP","0.36","0.35","0.07","0.99","0.12","0.1","","1.91","5.54","12.5","0.29","0.68","1.52","3.81","1312","32.1","0.2","41.5","0.8","3.89","bdl","88.9","18.3","110","bdl","28","","","","0.136","11.92727273","",39.3625,-119.85773,"nevada"
"WPC_10","1306","rhizoplaca","2011","2011","ICP","8.16","0.27","0.12","0.5","0.06","0.11","","1.44","","41.56","0.41","0.44","6.92","7.23","1598","31.88","bdl","249.2","0.84","9.99","bdl","110.4","93.08","65.61","bdl","21.78","","","","0.332","","",38.88977,-115.4995,"nevada"
"HTNF_4","1406","rhizoplaca","2012","2012","ICP","4.81","0.56","0.08","0.93","0.09","0.11","","0.79","","10.2","0.51","0.42","2.02","2.89","1451","43.1","bdl","67.7","1.19","14.2","bdl","93.03","56.1","41.7","bdl","25.5","","","","0.113","34.796","",38.39502,-115.5012,"nevada"
"NCHT_4","1450","rhizoplaca","2013","2013","ICP","2.22","0.53","0.08","0.98","0.09","0.11","","2.49","6.23","55.05","0.61","0.64","1.95","4.69","1816","55.2","bdl","100","0.02","7.82","bdl","47.1","66.9","105.29","bdl","36.3","","","","0.129","17.24760186","",38.79688,-116.8483,"nevada"
"HUW_10","1499","rhizoplaca","2014","2014","ICP","2.78","0.28","0.06","0.92","0.1","0.11","","4.19","8.29","19.4","0.95","0.42","1.85","4.83","1238","36.7","0.5","40.4","1.54","27.7","0.11","482","50.2","25.2","bdl","36.2","","","","","","",40.55406,-110.32389,"utah"
"HUW_5","1497","rhizoplaca","2014","2014","ICP","1.88","0.21","0.06","0.93","0.06","0.12","","2.78","7.77","13.4","0.61","0.47","2.31","3.82","1184","25.8","1.47","47.1","1.18","14.1","bdl","400","22.5","20.3","bdl","25","","","","","","",40.77495,-109.82181,"utah"
"DPW_3","1491","rhizoplaca","2014","2014","ICP","6.8","0.21","0.07","0.84","0.08","0.12","","2.58","5.81","14.2","0.65","0.47","3.1","5.54","1350","31","0.29","63.7","2.16","10.6","bdl","81.8","82.6","54.2","bdl","26.1","","","","0.212","24.908","",40.50782,-112.55289,"utah"
"UWCNF_2","1342","rhizoplaca","2011","2012","ICP","5.02","0.37","","0.51","0.09","0.12","","3.48","","49.53","","1.05","8.95","14.57","2546","40.45","","","1.81","45","bdl","120.8","57.02","97.03","bdl","43.16","","","","0.338","26.239","",40.26498,-111.6207,"utah"
"ERSM_5","1484","rhizoplaca","2014","2014","ICP","3.58","0.25","0.08","0.8","0.09","0.12","","6.87","8.32","17.5","0.68","0.64","3.09","3.81","1773","32.3","0.16","109","1.76","5.9","bdl","231","79.5","76.2","bdl","29.8","","","","0.128","23.26771654","",41.60713,-117.74854,"nevada"
"NCHT_1","1447","rhizoplaca","2013","2013","ICP","4.71","0.58","0.08","1.14","0.09","0.12","","1.82","8.97","6.86","0.42","0.38","1.94","4.96","1525","40.9","bdl","111.4","bdl","6.12","bdl","82.3","86.3","18.7","bdl","21","","","","0.236","81.551","",38.6838,-117.3365,"nevada"
"CNF_3a","1427","rhizoplaca","2013","2013","ICP","2.06","0.56","0.09","1","0.1","0.12","","bdl","7.41","9.21","0.58","0.57","2.15","8.59","1712","38.5","11.5","170","0.35","6.07","bdl","53.1","32.1","61.26","bdl","30.8","","","","","","",36.681417,-105.54295,"new mexico"
"ANF_5","1466","rhizoplaca","2013","2013","ICP","3.01","0.49","0.12","1.06","0.1","0.12","","2.5","","29.6","0.7","1","5.94","5.08","3228","43.2","bdl","131.9","1.25","7.22","bdl","151","56.1","75.6","bdl","35.7","","","","0.142","","",39.952,-110.429433,"utah"
"NCHT_6","1452","rhizoplaca","2013","2013","ICP","2.86","0.63","0.1","0.94","0.11","0.12","","3.6","12.58","23.12","2.37","2.23","2.58","6.1","1884","54.6","0.37","108.3","1.99","11.3","bdl","107.2","76.4","60.02","bdl","38","","","","0.161","31.38953682","",38.63395,-116.6732,"nevada"
"ERSM_1","1481","rhizoplaca","2014","2014","ICP","2.81","0.28","0.1","1.01","0.11","0.12","","4.18","8.02","48.9","0.7","0.78","3.64","4.67","1984","35.6","0.2","117","1.94","13.1","bdl","90.5","74.6","124","bdl","35.5","","","","0.132","16","",40.94316,-115.07899,"nevada"
"HTNF_1","1400","rhizoplaca","2012","2012","ICP","3.73","0.7","0.06","0.97","0.12","0.12","","0.96","","5.2","0.39","0.2","0.35","2.25","684","19.8","bdl","46.8","0.44","9.6","bdl","100","17.8","19.5","bdl","28","","","","0.08","35.077","",38.2955,-115.4836,"nevada"
"ERSM_4","1483","rhizoplaca","2014","2014","ICP","2.9","0.27","0.09","1.01","0.12","0.12","","4.74","8.25","42","0.62","0.69","3.03","4.86","1879","37.3","0.14","91.1","1.8","9.94","bdl","100","68.7","106","bdl","40","","","","0.1215","17.72641509","",40.77492,-115.31259,"nevada"
"MI_ReInvent_10","1185","rhizoplaca","2009","2009","ICP","0.48","0.47","0.136","1.34","0.205","0.124","","11.8","","18.21","3.74","3.86","6.85","11.62","1848","66.56","5.91","49.59","6.86","13.41","bdl","bdl","9.27","117.47","bdl","39.69","","","","0.2928","15.73","",46.09467,-113.232,"montana"
"DPW_1","1490","rhizoplaca","2014","2014","ICP","2.24","0.22","0.07","1.05","0.07","0.13","","2.97","7.54","12.2","0.5","0.41","3.8","4.87","1099","22.6","0.2","73.6","1.83","13.8","bdl","75.9","41","60.4","bdl","30.4","","","","0.16","18.195","",40.45768,-112.62374,"utah"
"UWCNF_23","1322","rhizoplaca","2011","2012","ICP","3.32","0.29","","1.15","0.07","0.13","","2.32","","29.74","","0.62","6.92","10.87","1063","21.36","","","1.07","14.43","bdl","127.7","45.23","65.31","bdl","36.38","","","","0.299","16.276","",39.99835,-112.3794,"utah"
"UWCNF_6","1324","rhizoplaca","2011","2012","ICP","2.22","0.32","","2.34","0.08","0.13","","1.46","","28.99","","0.42","7.21","10.22","1180","31.14","","","0.89","16.93","bdl","134.7","28.91","63.51","bdl","43.04","","","","0.237","18.58","",40.18558,-111.5654,"utah"
"WPC_11","1307","rhizoplaca","2011","2011","ICP","3.25","0.32","0.09","0.54","0.09","0.13","","2.39","","34.64","0.67","0.35","7.11","7.88","1312","35.55","bdl","235.1","1.2","10.83","bdl","145","64.52","49.29","bdl","34.56","","","","0.228","","",39.1097,-115.3976,"nevada"
"UWCNF_11","1312","rhizoplaca","2011","2012","ICP","1.7","0.28","","0.54","0.1","0.13","","1.92","","23.3","","0.35","4.78","8.24","1250","18.72","","","0.9","23.27","bdl","30.65","18.9","61.6","bdl","34.67","","","","0.238","20.29","",40.48597,-111.7057,"utah"
"ERSM_3","1482","rhizoplaca","2014","2014","ICP","5.42","0.27","0.08","0.99","0.1","0.13","","3.63","8.48","32.1","0.86","0.81","5.32","27.7","3423","34.8","0.22","101","1.8","10.6","bdl","102","63.1","126","bdl","37.3","","","","0.743","27.167","",40.60174,-115.3787,"nevada"
"AGW_1","1494","rhizoplaca","2014","2014","ICP","1.92","0.3","0.06","1.11","0.1","0.13","","1.96","5.1","8.32","0.26","0.24","3.39","4.51","708","21.9","1.13","84.5","0.98","156","0.54","245","23.8","16.7","bdl","25","","","","0.18","42.395","",37.68453,-112.88625,"utah"
"HTNF_3","1404","rhizoplaca","2012","2012","ICP","3.6","0.64","0.08","1.01","0.11","0.13","","0.22","","7.1","0.48","0.24","0.38","2.19","917","26","bdl","83.8","0.7","6.9","bdl","106.99","54.3","20.3","bdl","22.5","","","","0.097","45.172","",38.16705,-115.60889,"nevada"
"ERSM_2","1480","rhizoplaca","2014","2014","ICP","1.67","0.31","0.09","1.05","0.11","0.13","","3.81","7","38.6","0.65","0.75","3.3","5.51","1751","35.7","0.25","85.3","1.6","5.57","bdl","76.2","55.8","118","bdl","32.2","","","","0.171","14.83898305","",41.02676,-115.08184,"nevada"
"HTNF_2","1403","rhizoplaca","2012","2012","ICP","2.6","0.77","0.07","1.16","0.13","0.13","","0.88","","5.6","0.42","0.22","0.59","2.5","830","29.4","bdl","62.4","0.44","5.2","bdl","107.63","27.8","17.8","bdl","26","","","","0.096","46.629","",38.1671,-115.60889,"nevada"
"NCHT_2","1448","rhizoplaca","2013","2013","ICP","1.07","0.52","0.07","0.92","0.09","0.14","","2.35","8.89","58.62","0.4","0.31","2","5.05","1123","24.2","bdl","131.7","bdl","6.07","bdl","54.7","41.8","54.29","bdl","23.5","","","","0.215","20.685","",38.9497,-117.3313,"nevada"
"HUW_9","1495","rhizoplaca","2014","2014","ICP","1.97","0.26","0.04","1.03","0.09","0.14","","0.57","6.52","8.67","0.4","0.17","1.7","3.83","579","13.6","8.25","39.4","0.7","10.5","0.46","234","25.6","11.8","bdl","18","","","","","","",40.5976,-109.84063,"utah"
"WPC_12","1308","rhizoplaca","2011","2011","ICP","2.98","0.36","0.1","0.75","0.1","0.15","","1.63","","28.4","0.4","0.28","6.34","7.68","1034","22.49","bdl","258.3","0.68","8.03","bdl","152","36.39","39.57","bdl","26.96","","","","0.285","","",38.82803,-115.2903,"nevada"
"ERSM_6","1485","rhizoplaca","2014","2014","ICP","5.19","0.32","0.11","0.94","0.1","0.15","","5.99","10.8","26.4","3.73","3.69","5.88","6.55","2062","42.6","4.65","155","5.16","9.16","3.22","184","117","111","bdl","39.6","","","","0.165","18.57657658","",41.51268,-117.72722,"nevada"
"NCHT_3","1449","rhizoplaca","2013","2013","ICP","2.29","0.61","0.09","1.27","0.11","0.15","","3.54","9.18","14.69","0.49","0.46","1.78","5.03","1587","43.8","bdl","141.3","0.15","8.24","bdl","53.4","71.8","63.79","bdl","52.2","","","","0.096360153","24.8785076","",38.8596,-116.8508,"nevada"
"HTNF_2","1402","rhizoplaca","2012","2012","ICP","3.59","0.81","0.08","0.99","0.12","0.15","","0.26","","8.6","0.39","0.24","0.61","2.99","796","24.8","bdl","84.5","0.29","6.3","bdl","7.24","16.8","25.6","bdl","34.9","","","","0.086","31.094","",38.1671,-115.60889,"nevada"
"UWCNF_12","1395","rhizoplaca","2012","2012","ICP","3.34","0.82","0.09","1.21","0.14","0.15","","0.49","","11.4","0.72","0.66","2.9","5.06","1971","63.4","bdl","46.1","2.2","5.3","bdl","117.66","38.5","55.1","bdl","41.2","","","","0.123","35.77","",39.80445,-111.6944,"utah"
"ERSM_8","1487","rhizoplaca","2014","2014","ICP","3.87","0.3","0.07","1.22","0.13","0.17","","3.45","6.51","15.1","0.52","0.88","4.33","5.74","2724","42.4","0.09","75.5","1.68","6.75","bdl","226","79.1","46.6","bdl","35.5","","","","0.162","58.45493562","",39.49306,-119.89471,"nevada"
